# GridTwin ZA - DFFE environmental authorisations for renewable projects
# CC BY 4.0 - attribution required. gridtwinza.org
# source fingerprint: gtza-7f4d8068c08bbb07
# NOTE: PERMITS, NOT COMMISSIONING. An authorisation is not a built plant and not a
# grid connection. Permitted capacity exceeds built capacity by roughly ten times.
# Use for LOCATION and intent; use operational_renewable_capacity.csv for what exists.
name,province,technology,mw,status,decided,lat,lng
Environmental Authorisation for the 60MWp Photovoltaic Plant associated with the Tubatse F,Limpopo,Solar PV,60.0,Approved,2022-04-25,-24.72975,30.19402
Proposed Paradise 100MW Solar Photovoltaic (PV) & 40MW Battery Energy Storage Systems (BES,Free State,Solar PV,100.0,Approved,2023-06-02,-29.23868,26.20675
"The proposed Soutrivier South Wind Energy Facility, Ubuntu Local Municipality, Northern Ca",Northern Cape,Wind,270.0,Approved,2023-06-14,-31.61969,22.81702
"The proposed Soutrivier North Wind Energy Facility, Ubuntu Local Municipality, Northern Ca",Northern Cape,Wind,270.0,Approved,2023-06-14,-31.53688,22.69107
"The proposed Soutrivier Central Wind Energy Facility, Ubuntu Local Municipality, Northern ",Northern Cape,Wind,270.0,Approved,2023-06-12,-31.30952,22.93208
"The proposed Harvard Solar PV Facility (Harvard Solar 1) and Grid Connection, Remainder of",Free State,Solar PV,60.0,Approved,2023-07-11,-29.11426,26.13482
"The proposed Harvard Solar PV Facilities (Harvard Solar 2), Portion 5 of Farm Spes Bona, B",Free State,Solar PV,52.0,Approved,2023-07-11,-29.13066,26.10072
Proposed Parys up to 200MW Solar Photovoltaic (PV) and Battery Energy Storage System (BESS,Free State,Solar PV,200.0,Approved,2023-07-12,-26.96684,27.49733
"The proposed Soyuz 1 Wind Energy Facility, Emthanjeni Municipality, Northern Cape Province",Northern Cape,Wind,480.0,Approved,2023-07-13,-30.78756,23.46377
"The proposed Soyuz 2 Wind Energy Facility, Emthanjeni Municipality, Northern Cape Province",Northern Cape,Wind,480.0,Approved,2023-07-13,-30.80057,23.61513
"The proposed Soyuz 4 Wind Energy Facility, Emthanjeni Municipality, Northern Cape Province",Northern Cape,Wind,480.0,Approved,2023-07-19,-31.01772,23.52317
"The proposed Soyuz 5 Wind Energy Facility, Emthanjeni Municipality, Northern Cape Province",Northern Cape,Wind,480.0,Approved,2023-07-21,-31.15046,23.60517
"The proposed Soyuz 6 Wind Energy Facility, Emthanjeni Municipality, Northern Cape Province",Northern Cape,Wind,480.0,Approved,2023-07-21,-31.0529,23.71097
"The proposed Doornrivier 1 Solar Pv Facility, Portion 21 of Farm Doornrivier No. 330, Virg",Free State,Solar PV,88.0,Approved,2023-07-17,-28.16214,26.813
"The proposed Doornrivier 2 Solar PV Facility, Portion 5 of Farm Doornrivier No.330, Virgin",Free State,Solar PV,87.0,Approved,2023-07-11,-28.19146,26.79122
"The proposed Doornrivier 3 Solar Pv Facility, Remainder of Farm Doornrivier No. 330, Virgi",Free State,Solar PV,83.0,Approved,2023-07-21,-28.19157,26.78178
Proposed development of a 110 MW Solar Photovoltaic (PV) Facility on Portion 9 of the Farm,Free State,Solar PV,100.0,Approved,2023-06-28,-27.90922,26.84779
"The proposed development of a 240 MW Wind Energy Facility (WEF) (i.e., Kaladokhwe WEF 1), ",Eastern Cape,Wind,240.0,Approved,2023-06-30,-31.88354,25.76744
"The proposed development of a 240 MW Wind Energy Facility (WEF) (i.e., Kaladokhwe WEF 2), ",Eastern Cape,Wind,240.0,Approved,2023-07-11,-31.94541,25.81117
"The proposed development of a 240 MW Wind Energy Facility (WEF) (i.e., Kaladokhwe WEF 3), ",Eastern Cape,Wind,240.0,Approved,2023-07-11,-32.01858,25.74675
The proposed development of the Bonsmara Solar PV Facility (SEF) and the associated infras,Free State,Solar PV,100.0,Approved,2023-07-05,-27.75818,27.32609
"The Proposed Nyala Solar Power Plant near Welkom/Virginia, Free State Province.",Free State,Solar PV,150.0,Approved,2023-07-19,-28.16195,26.78895
The proposed 20MW solar facility located on the Remaining Extent of the Farm Vogelsrand No,Free State,Solar PV,20.0,Approved,2023-07-31,-27.95867,26.97716
"The proposed Steenbok Solar 1 and Steenbok Solar 2, near Bloemfontein, Free State Province",Free State,Solar PV,35.0,Approved,2023-07-18,-28.95843,26.22557
"The proposed Proposed Inyathi Solar Power Plant near Lichtenburg, North West Province.",North West,Solar PV,150.0,Approved,2023-09-07,-26.01522,26.13701
"The proposed Merino Wind Farm, Northern Cape Province.",Northern Cape,Wind,140.0,Approved,2023-05-15,-31.5023,23.64334
The Proposed Development of a Solar Photovoltaic (PV) Facility (Kudu Solar Facility 4) and,Northern Cape,Solar PV,50.0,Approved,2023-09-06,-30.25507,24.32562
The Proposed Development of a Solar Photovoltaic (PV) Facility (Kudu Solar Facility 6) and,Northern Cape,Solar PV,150.0,Approved,2023-09-06,-30.1965,24.30926
The Proposed Development of a Solar Photovoltaic (PV) Facility (Kudu Solar Facility 12) an,Northern Cape,Solar PV,150.0,Approved,2023-09-07,-30.14965,24.39007
"The Proposed Mafadi Solar Power Plant near Louis Trichardt, Limpopo Province.",Limpopo,Solar PV,150.0,Approved,2023-07-03,-23.34431,29.81238
"The Proposed Jersey Solar Power Plant near Ventersdorp, North West Province.",North West,Solar PV,350.0,Approved,2023-08-18,-26.15341,27.05549
"The Proposed Nguni Solar Power Plant near Ventersdorp, North West Province.",North West,Solar PV,350.0,Approved,2023-07-10,-26.15341,27.05549
The proposed  240MW Tafelkop solar PV facility and its associated electrical infrastructur,Northern Cape,Solar PV,240.0,Approved,2023-09-11,-30.16898,24.3414
"The proposed Koppy Alleen Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,240.0,Approved,2023-09-11,-30.2652,24.35475
"The proposed Vrede Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,150.0,Approved,2023-09-13,-30.22474,24.31382
"The proposed Zionsheuvel Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,240.0,Approved,2023-09-13,-30.24682,24.40279
"The proposed Amper Daar Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,100.0,Approved,2023-09-14,-30.20508,24.42566
"The proposed Wag 'N Bietjie Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,100.0,Approved,2023-09-14,-30.23493,24.46577
"The proposed Mutsho Solar PV1, Limpopo Province.",Northern Cape,Solar PV,100.0,Approved,2023-09-15,-30.28344,24.43273
"The proposed Mutsho Solar PV2, Limpopo Province.",Northern Cape,Solar PV,100.0,Approved,2023-09-11,-30.27081,24.43764
"The proposed Middelplaas Solar PV Facility, Northern Cape Province.",Northern Cape,Solar PV,100.0,Approved,2023-09-15,-30.18359,24.30359
"The Proposed 240MW Oslaagte Solar 3 Photovoltaic Project south east of Kroonstad, Free Sta",Free State,Solar PV,480.0,Approved,2023-09-12,-27.8235,27.31683
"The Proposed 240MW Mooivlei Solar 1 Photovoltaic Project west of Kroonstad, Free State Pro",Free State,Solar PV,240.0,Approved,2023-09-11,-27.65634,27.14011
"The Proposed 240MW Mooivlei Solar 2 Photovoltaic Project west of Kroonstad, Free State Pro",Free State,Solar PV,240.0,Approved,2023-09-15,-27.67535,27.15592
"The Proposed 65 MW Rhino Solar Photovoltaic Project north west of Rustenburg, North West P",North West,Solar PV,65.0,Approved,2023-09-14,-25.48631,27.00222
The proposed Dassiesridge wind facility within the Nelson Madala Bay and Sunday River Vall,Eastern Cape,Wind,140.0,Approved,2016-05-18,-33.60748,25.50274
The proposed construction of the Nokukhanya 75MW solar photovoltaic (PV) Plant near Dennil,Limpopo,Solar PV,75.0,Approved,2016-06-13,-25.29959,29.13172
Proposed development of a 75 MW solar photovolatic facility (Kenhardt PV 3) on the remaini,Northern Cape,Solar PV,75.0,Refused,2016-08-04,-29.2137,21.3018
Proposed development of a 75 MW solar photovolatic facility (Kenhardt PV 2) on the remaini,Northern Cape,Solar PV,75.0,Refused,2016-08-04,-29.2137,21.3018
The proposed Transalloys power plant and associated infrastructure within Emalahleni Local,Mpumalanga,Wind,55.0,Approved,2016-03-02,-25.89453,29.12604
The proposed establishment of 140mw zen wind farm near Saron within the Drankenstein Local,Western Cape,Wind,140.0,Approved,2016-11-03,-33.22525,19.00271
"Taaibos South Wind Energy Facility, Ubuntu Local Municipality, Northern Cape Province",Northern Cape,Wind,270.0,Approved,2023-06-15,-31.61212,22.48705
"The proposed Taaibos North Wind Energy Facility, Ubuntu Local Municipality, Northern Cape ",Northern Cape,Wind,270.0,Approved,2023-06-15,-31.5809,22.53296
"The proposed development of the Klipkraal Wind Energy Facility (WEF) 1, BESS and associate",Northern Cape,Wind,300.0,Approved,2023-06-22,-32.10247,21.79564
