overall_hour,national_demand,Eastern Cape_corrected,Limpopo_corrected,Mpumalanga_corrected,Gauteng_corrected,Western Cape_corrected,Northern Cape_corrected,Hydra Central_corrected,Kwazulu Natal_corrected,North West_corrected,Free State_corrected
3776,27461.4703345135,1441.0132336248769,2478.137936047485,3117.7151341698464,8201.946010173155,2451.627623128462,536.1614825436936,139.72512618649046,5368.762515184426,2901.167081886176,825.2141915688891
3777,29229.656181608,1505.995440632984,2553.971195666897,3277.837490530941,8904.710423671148,2712.6433168364147,644.0942675500124,101.18755418557691,5609.307812111667,3041.626604373341,878.282076049015
3778,30054.2681841777,1542.5413137579835,2628.3744468327163,3398.033463715862,9101.172944459651,2859.149343995771,688.4235308313587,53.42632067325992,5759.294063807158,3133.3043462229166,890.5484098810217
3779,29788.8912469306,1566.2450759843036,2628.597380749281,3425.4612043543725,8904.245845753492,2765.190011282968,702.5781709309839,146.60759002592457,5634.588365563514,3148.600895381373,866.776706904388
3780,29527.6916545447,1578.4648505550583,2562.9449967252613,3415.470631638119,8744.203816767935,2701.916351570127,711.6235552674608,152.15488657319557,5643.758668986156,3170.4716133220263,846.6822831393613
3781,28891.3040005561,1531.5316239978365,2565.233754065893,3376.589455740314,8531.52417795907,2651.215570612546,574.5791737433358,151.06261598119056,5525.373546456948,3166.917095793014,817.2769862059562
3782,28530.2971065057,1520.102546397694,2524.34262412911,3415.673876621369,8346.28319749096,2577.7277180712263,572.4290880939411,154.1356873843178,5457.693244025113,3143.541108003165,818.368016288802
3783,28182.3193049045,1495.3409782273911,2487.4521500583287,3357.1184137593004,8219.150604036879,2576.2846936279343,605.0484935977282,145.6386038112742,5404.483511796422,3081.5647594200395,810.2370965692055
3784,28617.1782150062,1529.3156047022665,2512.3584262665763,3382.426333267495,8386.378373768202,2694.226634217227,601.6064534884674,100.6167908166288,5531.70983238526,3061.761878208232,816.7778878858439
3785,28837.3083986754,1542.1966015204418,2551.807612997078,3359.792652874702,8524.732705790042,2752.2787002967125,596.9368464567111,130.90363061924535,5571.671412578875,2967.746619323755,839.2416162178376
3786,29856.1245127045,1661.591410358078,2714.971697815592,3442.1302564959733,8980.860765833815,2728.613130803857,612.7897334691819,150.93757040145755,5776.765407844024,2894.3290430204547,893.1354966620706
3787,32199.047938064,1701.4297313914644,2947.244994546754,3725.5775468686666,9837.59915676392,2946.0559630981847,639.8765422610778,198.1737859141289,6146.83578325724,3045.9169157198057,1010.3375182427588
3788,31581.141312148,1525.8622490854286,2867.2652333423885,3620.762517059007,9830.64831776699,2835.311241249386,665.2016144657317,186.064531320474,5955.500418559951,3088.8696454221727,1005.6555438764742
3789,29504.1254094182,1403.2446294555955,2602.47004380038,3543.0564631125,9229.723910260158,2538.403450552363,631.5606268679201,141.90033200496927,5488.4662371386285,2999.4761349117066,925.8235813139823
3790,27358.1142826993,1319.15340051949,2392.1692596429057,3341.31533335515,8368.647806691708,2390.1063478620244,570.9268502033161,121.1246787299516,5069.536373874207,2933.2597679349456,851.874463885598
3791,25373.3794294398,1286.9258315864645,2280.1638385144847,3154.405277227196,7482.132646612432,2138.0457157930846,513.9248756639078,164.2378027605317,4752.831466051283,2822.845526972184,777.8664482582365
3792,23753.2407177087,1201.225043438801,2173.462070145384,3019.4879825740227,6730.191542069777,2018.2530214720784,486.1920961681884,151.4857368081718,4548.459286905846,2701.115350012205,723.368588114229
3793,22808.9912273939,1154.26359067417,2138.4169651012016,2936.8811136925,6305.019741038925,1929.690227827052,470.6773031105111,154.57151739312087,4395.871123037662,2631.682739966322,691.916905552436
3794,22470.3669959555,1129.9904712792,2143.6843337192195,2844.552363437774,6159.188706723638,1931.953127572972,465.9945407177934,152.9132304619308,4347.592646228266,2628.883783004925,665.6137928097857
3795,22213.4610153235,1071.405461250538,2121.8724355984787,2815.826991812571,5939.430523859957,2020.2316246920464,459.9381228805547,150.10997444006446,4361.0161044392935,2623.771454075422,649.8583222745763
3796,22222.6690243471,1014.884052145903,2099.448593626653,2839.518571698125,5986.785444309971,2007.4445598005923,458.64780153885255,151.4559222856805,4365.470615506896,2639.55635700776,659.457106426659
3797,23318.0214582537,1097.0860810225777,2176.584796708001,2948.4537786604315,6348.832433507435,2154.425193222597,469.2270277611162,154.25050000295846,4607.235502982423,2688.677410878008,673.2487335081549
3798,25131.7041037116,1136.579871666724,2334.69380353944,3121.1238885910666,6965.474084335854,2364.581505006826,492.90365335086216,154.55941487528162,4984.382880023615,2851.1038667527723,726.3011355691557
3799,26085.7175621117,1283.85441362988,2416.7148179979163,3139.053248137527,7430.398641006119,2446.875839349394,500.54741481710334,99.32885068898096,5187.999978114485,2833.6136197151013,747.3307386551943
3800,26277.6609680904,1353.4605054205388,2357.572854717029,3029.6632043036693,7765.499261042575,2476.494985359176,519.2819078528901,121.63953124303072,5247.141002011833,2624.799608997109,782.1081071425522
3801,27804.9445765258,1397.1927750107045,2434.456799425936,3153.910057817508,8440.059318700172,2744.6736440407326,586.0277870573719,86.82994192017,5432.157623637485,2679.125221373903,850.5114075418146
3802,28763.3007605638,1418.6014849444211,2524.4037411373124,3257.045274042546,8748.776849251057,2950.269881066048,611.0628133350145,89.4254595662242,5547.0534073613135,2754.740055791822,861.9217940680403
3803,28656.2255269605,1385.4072471505078,2495.397945568615,3220.646447108296,8684.604103114892,3064.168566881533,575.116430596264,108.7879889527075,5505.364444751051,2773.434967108492,843.2973857281422
3804,27910.4462136279,1338.3318934064537,2421.705138596614,3252.3452678508547,8274.91762318155,2995.846126201108,597.4634132145927,100.38826313357394,5345.027329887257,2768.317382662152,816.1037754937436
3805,27381.4884967209,1316.9113333916923,2373.937896805934,3219.1406410903605,8074.27154530474,2869.417389343096,606.0503517404626,136.85117607704936,5205.301984684002,2780.207585141273,799.3985931422868
3806,27181.8549150084,1305.5607035463722,2344.959858470142,3219.299567020048,7978.70450939948,2795.806838485437,590.8114086538927,149.67189683649136,5224.259158251754,2766.893143717392,805.8878306273959
3807,26811.6322238126,1335.2100650287364,2353.4181435360288,3152.655237180753,7848.5559093651345,2655.08534377295,592.2617779699805,138.0643445726386,5236.809666355998,2709.6070224101168,789.9647136202631
3808,27067.482382491,1367.598091452414,2369.0075741121555,3208.5259698131663,7958.378319367286,2671.312073856961,565.4745976171373,90.13401131622676,5309.216844967559,2733.478728950512,794.3561710375806
3809,27791.8634930647,1403.8581266881408,2435.9626216646197,3277.9335138265365,8298.626867819026,2696.3659763158453,575.8274092743251,88.6177640509724,5447.07870450024,2742.3768516895634,825.2156572354315
3810,29079.1740742676,1526.7923400654215,2573.1968048281083,3312.328746966524,8824.266157889137,2823.6659447162124,551.2641771316339,158.30354196942116,5670.39658791896,2756.028433419588,882.9313393625986
3811,31391.1611702736,1619.01934708362,2824.3231030676056,3431.400939559247,9684.371310865214,3111.455912767001,599.6215750434611,204.57068155933212,5891.616535790874,3025.669277237442,999.1124872998016
